field_type,Categorical,Location,Numeric,Numeric,Numeric,Numeric,Numeric
description,Area of sampling,Point in the SAFE landscape,Top canopy height,Top canopy height standard deviation,Gap fraction,Aboveground biomass,LiDAR ground coverage
levels,SAFE; Maliau,,,,,,
units,,,metres,metres,metres,grams2,ratio
method,,,LiDAR,LiDAR,LiDAR,LiDAR,LiDAR
field_name,Location,ID,tch,tch_sd,gf,agb,coverage
75,SAFE,A_858,15.56561894,8.87691347,0.287700695,49.77590335,0.999674886
76,SAFE,A_859,7.092265879,6.496276354,0.724043921,13.57379798,0.997698907
77,SAFE,B_49,12.76596247,6.30086366,0.325480192,35.86501562,0.99934974
78,SAFE,B_50,15.82695904,6.019173836,0.170306988,51.1649361,1
79,SAFE,B_51,15.49788531,5.95085642,0.176161657,49.41836454,0.999949982
80,SAFE,B_52,13.91764395,7.031179478,0.320698541,41.36949294,0.999824864
81,SAFE,B_53,13.560041,7.514207638,0.353298807,39.6271667,0.99957467
82,SAFE,B_54,14.64598967,7.51228275,0.288927249,45.00907001,0.999949965
83,SAFE,B_55,17.46990978,7.86351057,0.128280832,60.23884975,0.999974979
84,SAFE,B_56,18.87994905,5.678028581,0.064003802,68.48586948,1
85,SAFE,B_57,18.18710074,6.010610905,0.108803883,64.38133227,1
86,SAFE,B_58,14.47467869,5.575443261,0.190167626,44.1421355,1
87,SAFE,B_59,16.08151285,6.349987845,0.151735008,52.53237846,0.999924946
88,SAFE,B_60,17.07185214,8.752563195,0.120612444,57.98687232,0.999899927
89,SAFE,B_61,16.08022635,7.517445689,0.2182496,52.52543171,0.9998749
90,SAFE,B_62,16.31154808,5.293130633,0.112169868,53.78033311,0.99994998
91,SAFE,B_63,14.18635498,6.784543392,0.272754558,42.69813226,0.999799905
92,SAFE,B_64,11.54501413,6.840799588,0.317940764,30.37391039,0.999374625
93,SAFE,B_65,12.3187637,6.74200951,0.297994198,33.8120335,0.99977491
94,SAFE,B_66,13.91062504,6.188313775,0.242396198,41.33501058,0.999549775
95,SAFE,B_67,16.11472918,8.39842255,0.257937799,52.71186359,0.99959967
96,SAFE,B_68,17.2686204,8.271945582,0.202085887,59.09583563,0.999724883
97,SAFE,B_69,17.81226176,8.511193719,0.194670337,62.20269197,0.999699737
98,SAFE,B_70,12.75489676,6.324993752,0.355032398,35.81363989,0.999899927
99,SAFE,B_71,12.14499986,6.030545144,0.330415427,33.02726909,0.99959983
100,SAFE,B_72,11.9607437,5.803937404,0.375484581,32.20309208,0.999799915
101,SAFE,B_73,16.62567204,8.209636449,0.209733517,55.50311216,0.999699737
102,SAFE,B_74,15.93220944,7.170208227,0.178782269,51.72860474,0.99989994
103,SAFE,B_75,14.94055284,7.778992078,0.273843768,46.51526024,0.999749869
104,SAFE,B_76,17.44024745,7.834572535,0.150999075,60.06987012,0.999974992
105,SAFE,B_77,17.68292324,7.714579675,0.132199575,61.4578398,0.999899962
106,SAFE,B_78,18.2916783,8.875825553,0.174210974,64.99443465,0.999924974
107,SAFE,B_79,14.84659721,9.388025973,0.275460184,46.03271041,0.99982493
108,SAFE,B_80,15.36769605,9.666033965,0.221263505,48.73401032,0.99937475
109,SAFE,B_81,14.35151225,6.250555766,0.226581265,43.52296374,0.99992494
110,SAFE,B_82,22.25943427,8.017402124,0.039332449,89.91154686,0.999974979
111,SAFE,B_83,17.33504615,7.506557247,0.13207736,59.47207521,0.999924942
